"stazione_id","citta","stazione_nome","stazione_latitudine","stazione_longitudine"
"45","Agrigento","Centro","37.306413","13.589904"
"1908498","Agrigento","ASP","37.307047","13.593963"
"1908487","Agrigento","Monserrato","37.299240","13.551601"
"1908497","Porto Empedocle","Porto Empedocle","37.291894","13.532537"
"48","Lampedusa","Lampedusa","35.502802","12.597921"
"1908201","Palermo","Belgio","38.151700","13.331559"
"1908202","Palermo","Boccadifalco","38.120539","13.302198"
"1908205","Palermo","Indipendenza","38.111034","13.350252"
"1908208","Palermo","Castelnuovo","38.124382","13.354215"
"1908209","Palermo","Di Blasi","38.121681","13.329306"
"1","Bagheria","Bagheria","38.086111","13.504103"
"1908271","Palermo","UNIPA","38.105096","13.346530"
"1908269","Partinico","Partinico","38.050162","13.118590"
"1908270","Termini Imerese","Termini Imerese","37.977911","13.687987"
"14","Messina","Villa Dante","38.174341","15.546512"
"1908367","Messina","Boccetta","38.198256","15.552935"
"1908313","Santa Lucia del Mela","Santa Lucia del Mela","38.160495","15.275031"
"1908366","Pace del Mela","Pace del Mela","38.205556","15.310064"
"23","Barcellona Pozzo di Gotto","Barcellona Pozzo di Gotto","38.160290","15.231209"
"1908369","Milazzo","Termica","38.190608","15.249112"
"1908801","Ragusa","Campo Atletica","36.917119","14.734022"
"1908802","Ragusa","Villa Archiemede","36.926331","14.714509"
"1908805","Pozzallo","Pozzallo","36.729474","14.838651"
"1908519","Gela","Ex Autoparco","37.055867","14.297144"
"17","Gela","Tribunale","37.065105","14.261254"
"1908501","Gela","Enimed","37.062217","14.284218"
"1908513","Gela","Via Venezia","37.070349","14.253618"
"1908521","Gela","Capo Soprano","37.075693","14.223844"
"1908520","Gela","Biviere","37.022486","14.344965"
"1908512","Niscemi","Niscemi","37.145943","14.395552"
"49","Caltanissetta","Caltanissetta","37.489848","14.051110"
"1908712","Catania","Ospedale Garibaldi","37.511594","15.075233"
"1908795","Catania","Viale Vittorio Veneto","37.515808","15.097211"
"1908702","Catania","Parco Gioieni","37.529257","15.081122"
"11","San Giovanni La Punta","San Giovanni La Punta","37.578669","15.101062"
"1908701","Misterbianco","Misterbianco","37.515714","15.010788"
"1908601","Enna","Enna","37.564125","14.281463"
"1908101","Trapani","Trapani","38.012365","12.546894"
"53","Salemi","Diga Rubino","37.882476","12.718020"
"52","Cesaro","Portella Femmina Morta Calacuderi","37.924522","14.662009"
"1908901","Augusta","Augusta","37.218400","15.220500"
"1908964","Siracusa","ASP Pizzuta","37.085751","15.268014"
"1908902","Siracusa","Belvedere","37.093973","15.208712"
"1908962","Melilli","Melilli","37.182374","15.128831"
"1908963","Priolo","Priolo","37.156119","15.190867"
"1908965","Siracusa","Pantheon","37.067768","15.285331"
"1908967","Siracusa","Teracati","37.075831","15.278581"
"44","Solarino","Solarino","37.096276","15.131752"
"1908910","Siracusa","Via Gela","37.098447","15.262506"
"1908966","Siracusa","Verga","37.091295","15.285297"
"1908371","Milazzo","a2a","38.231469","15.247567"
"1908310","Pace del mela","a2a","38.183005","15.301496"
"1908312","S.Filippo del Mela","a2a","38.174624","15.271443"
"102","Gela","Pontile","37.065106","14.243884"
"110","Augusta","Contrada Marcellino","37.221026","15.169058"
"1908971","Augusta","Megara","37.194600","15.182900"
"112","Augusta","Villa Augusta","37.282930","15.095059"
"1908517","Augusta","Parcheggio AGIP","37.059610","14.265080"
