"ID_STAZ","DATARIL","VALORE"
"709","2020-07-01 00:00:00.0","22.00"
"709","2020-07-01 01:00:00.0","22.50"
"709","2020-07-01 02:00:00.0","22.40"
"709","2020-07-01 03:00:00.0","22.10"
"709","2020-07-01 04:00:00.0","22.30"
"709","2020-07-01 05:00:00.0","21.90"
"709","2020-07-01 06:00:00.0","23.30"
"709","2020-07-01 07:00:00.0","25.50"
"709","2020-07-01 08:00:00.0","27.00"
"709","2020-07-01 09:00:00.0","27.60"
"709","2020-07-01 10:00:00.0","28.60"
"709","2020-07-01 11:00:00.0","29.00"
"709","2020-07-01 12:00:00.0","28.70"
"709","2020-07-01 13:00:00.0","28.80"
"709","2020-07-01 14:00:00.0","27.80"
"709","2020-07-01 15:00:00.0","28.10"
"709","2020-07-01 16:00:00.0","28.60"
"709","2020-07-01 17:00:00.0","29.60"
"709","2020-07-01 18:00:00.0","27.10"
"709","2020-07-01 19:00:00.0","23.60"
"709","2020-07-01 20:00:00.0","21.90"
"709","2020-07-01 21:00:00.0","21.30"
"709","2020-07-01 22:00:00.0","20.60"
"709","2020-07-01 23:00:00.0","20.70"
"730","2020-07-01 00:00:00.0","20.00"
"730","2020-07-01 01:00:00.0","20.20"
"730","2020-07-01 02:00:00.0","19.80"
"730","2020-07-01 03:00:00.0","19.40"
"730","2020-07-01 04:00:00.0","19.40"
"730","2020-07-01 05:00:00.0","21.00"
"730","2020-07-01 06:00:00.0","27.10"
"730","2020-07-01 07:00:00.0","28.20"
"730","2020-07-01 08:00:00.0","29.30"
"730","2020-07-01 09:00:00.0","28.90"
"730","2020-07-01 10:00:00.0","28.20"
"730","2020-07-01 11:00:00.0","27.90"
"730","2020-07-01 12:00:00.0","27.70"
"730","2020-07-01 13:00:00.0","27.70"
"730","2020-07-01 14:00:00.0","28.40"
"730","2020-07-01 15:00:00.0","30.50"
"730","2020-07-01 16:00:00.0","30.90"
"730","2020-07-01 17:00:00.0","30.00"
"730","2020-07-01 18:00:00.0","26.50"
"730","2020-07-01 19:00:00.0","24.20"
"730","2020-07-01 20:00:00.0","23.20"
"730","2020-07-01 21:00:00.0","22.50"
"730","2020-07-01 22:00:00.0","22.60"
"730","2020-07-01 23:00:00.0","22.60"
"731","2020-07-01 00:00:00.0","18.90"
"731","2020-07-01 01:00:00.0","19.10"
"731","2020-07-01 02:00:00.0","18.70"
"731","2020-07-01 03:00:00.0","18.80"
"731","2020-07-01 04:00:00.0","18.80"
"731","2020-07-01 05:00:00.0","19.40"
